Time, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Acceleration X, Acceleration Y, Acceleration Z, Direction X, Direction Y, Direction Z, Destination X, Destination Y, Destination Z, robotFound X, robotFound Y, robotFound Z
0.26, -0.183572, 2.51423, -0.183572, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.27, -0.190633, 2.51477, -0.190633, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.28, -0.197693, 2.51532, -0.197693, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.29, -0.204754, 2.51587, -0.204754, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.3, -0.211814, 2.51642, -0.211814, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.31, -0.218875, 2.51696, -0.218875, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.32, -0.225935, 2.51751, -0.225935, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.33, -0.232996, 2.51806, -0.232996, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.34, -0.240056, 2.5186, -0.240056, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.35, -0.247116, 2.51915, -0.247116, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.36, -0.254177, 2.5197, -0.254177, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.37, -0.261237, 2.52025, -0.261237, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.38, -0.268298, 2.52079, -0.268298, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.39, -0.275358, 2.52134, -0.275358, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
<<<<<<< HEAD
0.477199, -0.336925, 2.52611, -0.336925, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.480751, -0.339433, 2.52631, -0.339433, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.483067, -0.341068, 2.52643, -0.341068, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.485613, -0.342866, 2.52657, -0.342866, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.487739, -0.344367, 2.52669, -0.344367, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.490014, -0.345973, 2.52681, -0.345973, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.498843, -0.352207, 2.5273, -0.352207, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.516752, -0.364851, 2.52828, -0.364851, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.532552, -0.376007, 2.52914, -0.376007, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.552113, -0.389818, 2.53021, -0.389818, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.566601, -0.400047, 2.531, -0.400047, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.583793, -0.412185, 2.53194, -0.412185, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.60006, -0.423671, 2.53283, -0.423671, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.616508, -0.435284, 2.53373, -0.435284, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.632712, -0.446725, 2.53462, -0.446725, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.651776, -0.460185, 2.53566, -0.460185, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.666752, -0.470758, 2.53648, -0.470758, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.682681, -0.482005, 2.53735, -0.482005, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.699732, -0.494044, 2.53829, -0.494044, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.716154, -0.505639, 2.53919, -0.505639, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.733992, -0.518233, 2.54016, -0.518233, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.751233, -0.530406, 2.54111, -0.530406, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.76722, -0.541694, 2.54198, -0.541694, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.784144, -0.553643, 2.54291, -0.553643, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.800956, -0.565513, 2.54383, -0.565513, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.817351, -0.577088, 2.54472, -0.577088, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.833545, -0.588522, 2.54561, -0.588522, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.849325, -0.599663, 2.54647, -0.599663, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.866211, -0.611586, 2.5474, -0.611586, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.882763, -0.623272, 2.5483, -0.623272, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.899851, -0.635337, 2.54924, -0.635337, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.916059, -0.646781, 2.55013, -0.646781, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.932815, -0.658611, 2.55104, -0.658611, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.949948, -0.670708, 2.55198, -0.670708, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.96612, -0.682126, 2.55286, -0.682126, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
0.983069, -0.694093, 2.55379, -0.694093, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.00657, -0.710686, 2.55508, -0.710686, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.01644, -0.717653, 2.55562, -0.717653, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.03289, -0.729266, 2.55652, -0.729266, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.0502, -0.741493, 2.55747, -0.741493, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.06638, -0.752916, 2.55835, -0.752916, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.08318, -0.764776, 2.55927, -0.764776, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.10012, -0.776734, 2.5602, -0.776734, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.1167, -0.788444, 2.5611, -0.788444, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.13339, -0.800224, 2.56202, -0.800224, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.14968, -0.811726, 2.56291, -0.811726, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.16674, -0.823775, 2.56384, -0.823775, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.18315, -0.835359, 2.56474, -0.835359, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.20005, -0.847293, 2.56567, -0.847293, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.21604, -0.858581, 2.56654, -0.858581, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.23302, -0.870571, 2.56747, -0.870571, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.24995, -0.882527, 2.5684, -0.882527, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.26658, -0.894263, 2.56931, -0.894263, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.28349, -0.906205, 2.57023, -0.906205, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.2996, -0.91758, 2.57111, -0.91758, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.31639, -0.929437, 2.57203, -0.929437, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.33331, -0.94138, 2.57296, -0.94138, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.35002, -0.953181, 2.57387, -0.953181, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.36646, -0.964785, 2.57477, -0.964785, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.38293, -0.976416, 2.57567, -0.976416, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.39979, -0.98832, 2.57659, -0.98832, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.41658, -1.00017, 2.57751, -1.00017, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.43296, -1.01174, 2.57841, -1.01174, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.44984, -1.02366, 2.57933, -1.02366, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.46657, -1.03546, 2.58025, -1.03546, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.48312, -1.04715, 2.58115, -1.04715, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.50099, -1.05977, 2.58213, -1.05977, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.5163, -1.07058, 2.58297, -1.07058, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.53348, -1.08271, 2.58391, -1.08271, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.54947, -1.094, 2.58478, -1.094, -0.706047, 0.0547187, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.56645, -1.10599, 2.58571, -1.10599, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.58314, -1.11777, 2.58663, -1.11777, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.59978, -1.12952, 2.58754, -1.12952, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.61653, -1.14135, 2.58845, -1.14135, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.63339, -1.15325, 2.58938, -1.15325, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.65012, -1.16506, 2.59029, -1.16506, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.66671, -1.17677, 2.5912, -1.17677, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.68311, -1.18835, 2.5921, -1.18835, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.70053, -1.20066, 2.59305, -1.20066, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.71673, -1.21209, 2.59394, -1.21209, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.73289, -1.2235, 2.59482, -1.2235, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.74985, -1.23548, 2.59575, -1.23548, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.76666, -1.24735, 2.59667, -1.24735, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.78303, -1.2589, 2.59756, -1.2589, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.80031, -1.27111, 2.59851, -1.27111, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.82044, -1.28532, 2.59961, -1.28532, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.8331, -1.29426, 2.6003, -1.29426, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.84996, -1.30616, 2.60123, -1.30616, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.86643, -1.31779, 2.60213, -1.31779, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.88336, -1.32974, 2.60305, -1.32974, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.90029, -1.3417, 2.60398, -1.3417, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.91615, -1.35289, 2.60485, -1.35289, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.93322, -1.36494, 2.60578, -1.36494, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.95013, -1.37689, 2.60671, -1.37689, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.96811, -1.38958, 2.60769, -1.38958, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
1.98437, -1.40106, 2.60858, -1.40106, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
2.0011, -1.41287, 2.6095, -1.41287, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
2.01743, -1.4244, 2.61039, -1.4244, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
2.03401, -1.43611, 2.6113, -1.43611, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
2.05001, -1.44741, 2.61217, -1.44741, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
2.06626, -1.45888, 2.61306, -1.45888, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
2.08308, -1.47075, 2.61398, -1.47075, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
2.09988, -1.48261, 2.6149, -1.48261, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
2.11691, -1.49464, 2.61583, -1.49464, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
2.13319, -1.50613, 2.61672, -1.50613, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
2.15001, -1.51801, 2.61765, -1.51801, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
2.1669, -1.52993, 2.61857, -1.52993, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
2.18322, -1.54145, 2.61946, -1.54145, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
2.20006, -1.55335, 2.62038, -1.55335, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
2.21657, -1.56501, 2.62129, -1.56501, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
2.23347, -1.57693, 2.62221, -1.57693, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
2.25032, -1.58883, 2.62313, -1.58883, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
2.26694, -1.60057, 2.62404, -1.60057, -0.706047, 0.0547186, -0.706047, 0, 0, 0, -0.706047, 0.0547187, -0.706047, -1000, 80, -1000, -1, -1, -1
